user_id,friend_id
10046,3591341
10586,3591341
18091,3983759
19718,3591341
19836,3591341
20960,3591341
39694,48726649
42590,5162866
100777,48726649
101906,3591341
103597,18425192
112999,3591341
118276,48726649
121720,3591341
122733,238384014
126540,3983759
127884,3591341
128454,234144016
184356,3591341
187875,5162866
190086,3591341
193276,3983759
193550,3591341
195908,4407522
201235,3983759
201770,3591341
203622,3983759
208945,3591341
210819,3591341
223287,3591341
236608,5162866
237874,3591341
239022,3591341
240495,3591341
253247,3591341
253477,3591341
257784,3591341
261551,3591341
264786,3591341
270460,48726649
279789,288845497
280988,48726649
281142,48726649
282405,48726649
295106,3983759
296372,48726649
305755,3591341
318489,4407522
322768,3591341
326611,5162866
327254,3983759
331444,3591341
338764,3591341
340860,48726649
358991,3983759
361792,465506973
378091,48726649
385478,465506973
435610,48726649
449804,48726649
475129,5162866
501533,5162866
510246,5162866
1008134,3983759
1010103,95633793
1010103,275445270
1010309,18425192
1017866,3591341
1020267,1571867
1025380,4407522
1025389,219893147
1037128,48726649
1040518,3591341
1049905,519542087
1050679,3591341
1071357,3983759
1077482,3591341
1084913,196934430
1086740,3983759
1106347,3983759
1107588,3591341
1113829,18425192
1119198,5162866
1119883,4407522
1119883,18425192
1124469,3591341
1126058,1571867
1128679,4407522
1135363,3591341
1165380,3591341
1166817,238384014
1180656,3591341
1186575,3591341
1189886,3591341
1192163,5162866
1206017,3983759
1210531,18425192
1212652,3591341
1223714,3591341
1240640,3591341
1247082,48726649
1249425,4407522
1259415,252117749
1265596,5162866
1278581,235598630
1305255,322319926
1310459,5162866
1317614,3983759
1320250,1571867
1322096,18425192
1324465,3591341
1328456,206970683
1329966,18425192
1334621,48726649
1335574,1571867
1337485,3983759
1351844,3591341
1355552,48726649
1359082,48726649
1362432,18425192
1372124,5162866
1374611,3983759
1384093,4407522
1406221,3591341
1407438,4407522
1417634,250415334
1419554,258175035
1420344,219893147
1438983,415644346
1440057,1571867
1443349,3983759
1448486,3983759
1449976,3591341
1457374,4407522
1457666,3591341
1464009,333362005
1465785,1571867
1477673,1571867
1483861,3591341
1488386,3983759
1489031,203760711
1496771,48726649
1501386,4407522
1501889,3591341
1505804,1571867
1506980,48726649
1508128,252117749
1512586,48726649
1516042,4407522
